Bus_ID,Operator,Route_ID,From_City,To_City,Bus_Name,Bus_Type,Departure_Time,Arrival_Time,Duration,Distance_KM,Fare,Boarding_Point,Dropping_Point,Seats,Available_Seats,Amenities,Running_Days,Rating
BUS0001,GreenLine Travels,R024,Bengaluru,Chennai,GreenLine Travels Express,Luxury Sleeper,04:00,07:30,3h 30m,345,1083,Electronic City,Koyambedu,45,33,"AC,WiFi,Charging",Weekdays,3.9
BUS0002,Victory Travels,R001,Chennai,Madurai,Victory Travels Express,AC Sleeper,06:15,17:30,11h 15m,460,1355,Vandalur,Anna Nagar,36,5,"Charging,Reading Light",Weekends,4.2
BUS0003,Express King,R010,Chennai,Thanjavur,Express King Express,Non AC Sleeper,16:30,05:15,12h 45m,350,921,Koyambedu,New Bus Stand,40,19,"Blanket,Pillow,Water",Daily,4.8
BUS0004,Fast Wheels,R002,Chennai,Coimbatore,Fast Wheels Express,Semi Sleeper,08:30,12:30,4h 0m,510,1373,Vandalur,Ukkadam,40,18,"Luxury Seat,WiFi",Weekends,3.9
BUS0005,Express King,R006,Chennai,Tiruppur,Express King Express,AC Seater,11:30,20:45,9h 15m,475,1196,Tambaram,New Bus Stand,45,15,"WiFi,Charging,Water",Weekdays,3.9
BUS0006,Galaxy Bus,R008,Chennai,Nagercoil,Galaxy Bus Express,Non AC Sleeper,03:30,08:00,4h 30m,705,1740,Chengalpattu,Vadasery Bus Stand,36,2,"AC,Blanket,Pillow",Weekdays,4.9
BUS0007,SkyBus,R012,Chennai,Karaikudi,SkyBus Express,Non AC Sleeper,20:30,00:00,3h 30m,410,1069,Tambaram,Bus Stand,45,4,"WiFi,Charging,Water",Weekends,4.2
BUS0008,Galaxy Bus,R018,Coimbatore,Chennai,Galaxy Bus Express,Semi Sleeper,15:30,03:45,12h 15m,510,1444,Ukkadam,Vandalur,45,8,"Luxury Seat,WiFi",Daily,4.0
BUS0009,Prime Bus,R018,Coimbatore,Chennai,Prime Bus Express,Non AC Sleeper,00:00,08:00,8h 0m,510,1368,Ukkadam,Guindy,36,10,"WiFi,Charging,Water",Weekends,4.1
BUS0010,Victory Travels,R020,Trichy,Chennai,Victory Travels Express,Volvo Multi Axle,08:15,12:15,4h 0m,330,1097,Chathiram Bus Stand,Tambaram,40,34,"Luxury Seat,WiFi",Weekends,4.1
BUS0011,Elite Travels,R024,Bengaluru,Chennai,Elite Travels Express,Volvo Multi Axle,12:00,15:45,3h 45m,345,910,Electronic City,Vandalur,40,14,"WiFi,Charging,Water",Weekdays,4.7
BUS0012,Smart Coach,R003,Chennai,Trichy,Smart Coach Express,Luxury Sleeper,07:45,16:30,8h 45m,330,915,Koyambedu,Chathiram Bus Stand,40,35,"Luxury Seat,WiFi",Weekends,4.0
BUS0013,City Link,R014,Chennai,Hosur,City Link Express,Non AC Seater,20:15,01:30,5h 15m,310,923,Chengalpattu,Bus Stand,45,1,"Luxury Seat,WiFi",Weekends,4.9
BUS0014,Blue Bird,R002,Chennai,Coimbatore,Blue Bird Express,Non AC Seater,02:30,10:30,8h 0m,510,1393,Vandalur,Gandhipuram,36,7,"GPS,USB Charging",Daily,4.0
BUS0015,Express King,R025,Tirupati,Chennai,Express King Express,AC Seater,05:00,13:15,8h 15m,150,631,Central Bus Stand,Perungalathur,36,30,"AC,WiFi,Charging",Weekdays,4.0
BUS0016,Happy Journey,R001,Chennai,Madurai,Happy Journey Express,Semi Sleeper,00:45,13:30,12h 45m,460,1307,Tambaram,Mattuthavani Bus Stand,40,22,"WiFi,Charging,Water",Weekends,3.9
BUS0017,Prime Bus,R024,Bengaluru,Chennai,Prime Bus Express,Volvo Multi Axle,21:45,09:15,11h 30m,345,1150,Kempegowda Bus Station,Guindy,36,14,"Luxury Seat,WiFi",Weekdays,4.7
BUS0018,Elite Travels,R014,Chennai,Hosur,Elite Travels Express,Luxury Sleeper,07:00,12:15,5h 15m,310,802,Koyambedu,Bus Stand,40,6,"GPS,USB Charging",Weekends,4.5
BUS0019,Elite Travels,R006,Chennai,Tiruppur,Elite Travels Express,Volvo Multi Axle,16:15,20:45,4h 30m,475,1332,Tambaram,Avinashi,36,21,"Luxury Seat,WiFi",Daily,4.1
BUS0020,Southern Express,R018,Coimbatore,Chennai,Southern Express Express,AC Sleeper,19:00,00:00,5h 0m,510,1506,Ukkadam,Tambaram,40,23,"Luxury Seat,WiFi",Weekdays,4.0
BUS0021,Fast Wheels,R001,Chennai,Madurai,Fast Wheels Express,Semi Sleeper,05:00,13:15,8h 15m,460,1256,Tambaram,Mattuthavani Bus Stand,40,21,"WiFi,Charging,Water",Weekdays,4.1
BUS0022,Comfort Bus,R016,Chennai,Tirupati,Comfort Bus Express,Non AC Seater,04:30,08:45,4h 15m,150,450,Tambaram,Central Bus Stand,36,14,"AC,WiFi,Charging",Weekdays,5.0
BUS0023,SkyBus,R019,Salem,Chennai,SkyBus Express,AC Sleeper,06:45,10:45,4h 0m,345,924,Old Bus Stand,Tambaram,40,1,"AC,Blanket,Pillow",Weekdays,4.2
BUS0024,Blue Bird,R003,Chennai,Trichy,Blue Bird Express,Non AC Seater,05:45,16:30,10h 45m,330,1030,Vandalur,Central Bus Stand,40,13,"AC,Blanket,Pillow",Weekdays,3.9
BUS0025,Victory Travels,R007,Chennai,Tirunelveli,Victory Travels Express,AC Sleeper,01:45,13:45,12h 0m,630,1705,Perungalathur,New Bus Stand,40,32,"AC,WiFi,Charging",Weekdays,4.5
BUS0026,SkyBus,R005,Chennai,Erode,SkyBus Express,Luxury Sleeper,21:45,05:00,7h 15m,400,1078,Koyambedu,Central Bus Stand,45,31,"GPS,USB Charging",Daily,4.8
BUS0027,Metro Connect,R002,Chennai,Coimbatore,Metro Connect Express,Non AC Sleeper,09:30,21:45,12h 15m,510,1291,Koyambedu,Ukkadam,36,24,"Blanket,Pillow,Water",Daily,4.4
BUS0028,Blue Bird,R008,Chennai,Nagercoil,Blue Bird Express,BharatBenz Sleeper,23:00,02:30,3h 30m,705,1948,Vandalur,Vadasery Bus Stand,36,22,"AC,Live Tracking",Weekdays,4.7
BUS0029,Fast Wheels,R006,Chennai,Tiruppur,Fast Wheels Express,Volvo Multi Axle,10:00,18:30,8h 30m,475,1153,Guindy,Avinashi,40,31,"GPS,USB Charging",Weekends,4.6
BUS0030,Fast Wheels,R010,Chennai,Thanjavur,Fast Wheels Express,AC Sleeper,21:00,08:30,11h 30m,350,958,Perungalathur,New Bus Stand,45,33,"Charging,Reading Light",Daily,4.9
BUS0031,Happy Journey,R013,Chennai,Puducherry,Happy Journey Express,BharatBenz Sleeper,06:30,14:45,8h 15m,170,682,Chengalpattu,New Bus Stand,45,7,"AC,Blanket,Pillow",Daily,4.3
BUS0032,Sunrise Coaches,R003,Chennai,Trichy,Sunrise Coaches Express,Luxury Sleeper,22:30,01:45,3h 15m,330,1047,Chengalpattu,Chathiram Bus Stand,36,21,"AC,Blanket,Pillow",Weekdays,3.9
BUS0033,Metro Connect,R005,Chennai,Erode,Metro Connect Express,AC Seater,05:00,12:45,7h 45m,400,1077,Guindy,Central Bus Stand,45,1,"Luxury Seat,WiFi",Weekends,4.2
BUS0034,Sunrise Coaches,R011,Chennai,Dindigul,Sunrise Coaches Express,Semi Sleeper,05:30,17:45,12h 15m,420,1106,Guindy,Bus Stand,40,17,"AC,Blanket,Pillow",Daily,4.2
BUS0035,Rainbow Coaches,R020,Trichy,Chennai,Rainbow Coaches Express,AC Sleeper,13:45,20:45,7h 0m,330,966,Central Bus Stand,Vandalur,45,21,"AC,Blanket,Pillow",Weekdays,3.8
BUS0036,Royal Rider,R021,Tirunelveli,Chennai,Royal Rider Express,Non AC Sleeper,05:45,14:15,8h 30m,630,1678,New Bus Stand,Perungalathur,45,21,"Luxury Seat,WiFi",Weekdays,4.2
BUS0037,Golden Route,R003,Chennai,Trichy,Golden Route Express,Non AC Seater,21:15,03:15,6h 0m,330,854,Vandalur,Central Bus Stand,40,4,"AC,Live Tracking",Daily,3.9
BUS0038,Comfort Bus,R020,Trichy,Chennai,Comfort Bus Express,BharatBenz Sleeper,04:15,14:45,10h 30m,330,860,Central Bus Stand,Vandalur,40,9,"GPS,USB Charging",Weekdays,4.4
BUS0039,Blue Bird,R008,Chennai,Nagercoil,Blue Bird Express,AC Seater,08:00,20:15,12h 15m,705,1747,Perungalathur,Vadasery Bus Stand,36,14,"GPS,USB Charging",Daily,4.1
BUS0040,Happy Journey,R017,Madurai,Chennai,Happy Journey Express,Luxury Sleeper,04:30,11:00,6h 30m,460,1175,Periyar Bus Stand,Koyambedu,40,10,"AC,WiFi,Charging",Weekends,4.1
BUS0041,Prime Bus,R017,Madurai,Chennai,Prime Bus Express,Volvo Multi Axle,21:00,02:30,5h 30m,460,1247,Mattuthavani,Koyambedu,45,13,"Blanket,Pillow,Water",Weekends,4.1
BUS0042,Express King,R009,Chennai,Kanyakumari,Express King Express,Luxury Sleeper,17:30,00:00,6h 30m,710,1867,Koyambedu,Bus Stand,40,20,"Luxury Seat,WiFi",Weekends,4.7
BUS0043,SkyBus,R017,Madurai,Chennai,SkyBus Express,Non AC Seater,16:45,03:30,10h 45m,460,1219,Mattuthavani,Tambaram,36,21,"Charging,Reading Light",Daily,4.6
BUS0044,GreenLine Travels,R017,Madurai,Chennai,GreenLine Travels Express,Semi Sleeper,23:15,03:30,4h 15m,460,1412,Mattuthavani,Koyambedu,40,10,"GPS,USB Charging",Weekdays,5.0
BUS0045,Rainbow Coaches,R004,Chennai,Salem,Rainbow Coaches Express,Semi Sleeper,00:45,10:45,10h 0m,345,1141,Perungalathur,Old Bus Stand,40,22,"AC,Blanket,Pillow",Weekdays,4.4
BUS0046,Fast Wheels,R024,Bengaluru,Chennai,Fast Wheels Express,AC Sleeper,20:30,05:45,9h 15m,345,1099,Kempegowda Bus Station,Tambaram,40,33,"Luxury Seat,WiFi",Daily,4.0
BUS0047,Sunrise Coaches,R021,Tirunelveli,Chennai,Sunrise Coaches Express,AC Sleeper,08:45,12:15,3h 30m,630,1512,New Bus Stand,Koyambedu,45,9,"AC,Blanket,Pillow",Weekends,4.7
BUS0048,Southern Express,R008,Chennai,Nagercoil,Southern Express Express,Non AC Seater,14:15,19:45,5h 30m,705,1745,Guindy,Vadasery Bus Stand,36,33,"AC,Blanket,Pillow",Weekdays,4.6
BUS0049,Victory Travels,R012,Chennai,Karaikudi,Victory Travels Express,AC Seater,10:30,15:15,4h 45m,410,1258,Perungalathur,Bus Stand,45,9,"GPS,USB Charging",Weekdays,4.4
BUS0050,Comfort Bus,R019,Salem,Chennai,Comfort Bus Express,AC Sleeper,22:15,10:00,11h 45m,345,1134,New Bus Stand,Perungalathur,40,18,"Charging,Reading Light",Weekdays,3.8
BUS0051,Comfort Bus,R005,Chennai,Erode,Comfort Bus Express,Semi Sleeper,17:15,23:00,5h 45m,400,1128,Guindy,Central Bus Stand,36,21,"AC,WiFi,Charging",Daily,5.0
BUS0052,Galaxy Bus,R019,Salem,Chennai,Galaxy Bus Express,AC Sleeper,23:30,09:45,10h 15m,345,1116,New Bus Stand,Tambaram,36,31,"Charging,Reading Light",Daily,5.0
BUS0053,Happy Journey,R005,Chennai,Erode,Happy Journey Express,AC Seater,13:30,20:45,7h 15m,400,1148,Koyambedu,Central Bus Stand,45,8,"Luxury Seat,WiFi",Daily,3.9
BUS0054,City Link,R022,Nagercoil,Chennai,City Link Express,Non AC Seater,17:30,22:15,4h 45m,705,1691,Vadasery Bus Stand,Guindy,40,15,"WiFi,Charging,Water",Daily,4.9
BUS0055,GreenLine Travels,R002,Chennai,Coimbatore,GreenLine Travels Express,Volvo Multi Axle,19:45,05:00,9h 15m,510,1279,Perungalathur,Ukkadam,36,10,"AC,Blanket,Pillow",Daily,4.5
BUS0056,City Link,R010,Chennai,Thanjavur,City Link Express,Luxury Sleeper,20:15,05:00,8h 45m,350,1131,Perungalathur,New Bus Stand,45,27,"GPS,USB Charging",Daily,4.7
BUS0057,Galaxy Bus,R016,Chennai,Tirupati,Galaxy Bus Express,AC Seater,07:45,11:45,4h 0m,150,618,Koyambedu,Central Bus Stand,45,15,"AC,Blanket,Pillow",Weekdays,4.6
BUS0058,Royal Rider,R016,Chennai,Tirupati,Royal Rider Express,Semi Sleeper,06:45,12:30,5h 45m,150,563,Guindy,Central Bus Stand,40,18,"AC,Blanket,Pillow",Weekdays,4.5
BUS0059,Metro Connect,R010,Chennai,Thanjavur,Metro Connect Express,AC Seater,10:45,16:00,5h 15m,350,920,Perungalathur,New Bus Stand,45,9,"AC,WiFi,Charging",Weekdays,4.3
BUS0060,Golden Route,R010,Chennai,Thanjavur,Golden Route Express,AC Seater,19:00,06:45,11h 45m,350,957,Guindy,New Bus Stand,45,19,"Blanket,Pillow,Water",Weekdays,4.1
BUS0061,GreenLine Travels,R005,Chennai,Erode,GreenLine Travels Express,AC Seater,06:15,10:30,4h 15m,400,1132,Perungalathur,Perundurai,40,35,"Blanket,Pillow,Water",Weekdays,3.8
BUS0062,Happy Journey,R017,Madurai,Chennai,Happy Journey Express,BharatBenz Sleeper,11:30,20:30,9h 0m,460,1264,Periyar Bus Stand,Koyambedu,45,18,"GPS,USB Charging",Weekdays,4.5
BUS0063,Prime Bus,R018,Coimbatore,Chennai,Prime Bus Express,BharatBenz Sleeper,04:15,13:15,9h 0m,510,1327,Gandhipuram,Perungalathur,40,19,"Luxury Seat,WiFi",Weekends,4.6
BUS0064,Prime Bus,R021,Tirunelveli,Chennai,Prime Bus Express,Non AC Sleeper,02:00,11:00,9h 0m,630,1693,New Bus Stand,Koyambedu,45,22,"Luxury Seat,WiFi",Daily,4.7
BUS0065,Blue Bird,R023,Puducherry,Chennai,Blue Bird Express,Non AC Sleeper,11:00,14:15,3h 15m,170,480,New Bus Stand,Guindy,36,26,"GPS,USB Charging",Daily,4.0
BUS0066,Southern Express,R007,Chennai,Tirunelveli,Southern Express Express,AC Sleeper,22:30,06:45,8h 15m,630,1779,Tambaram,New Bus Stand,36,10,"AC,Live Tracking",Daily,4.4
BUS0067,Sunrise Coaches,R018,Coimbatore,Chennai,Sunrise Coaches Express,Non AC Sleeper,13:45,18:00,4h 15m,510,1339,Gandhipuram,Tambaram,36,2,"Charging,Reading Light",Weekdays,4.4
BUS0068,Express King,R004,Chennai,Salem,Express King Express,Luxury Sleeper,13:00,19:00,6h 0m,345,954,Perungalathur,New Bus Stand,45,18,"AC,Blanket,Pillow",Daily,5.0
BUS0069,Royal Rider,R009,Chennai,Kanyakumari,Royal Rider Express,Non AC Sleeper,06:45,13:15,6h 30m,710,1896,Perungalathur,Bus Stand,45,4,"Luxury Seat,WiFi",Weekdays,4.4
BUS0070,Rainbow Coaches,R024,Bengaluru,Chennai,Rainbow Coaches Express,BharatBenz Sleeper,01:00,06:00,5h 0m,345,1140,Kempegowda Bus Station,Tambaram,36,16,"AC,Live Tracking",Weekdays,4.8
BUS0071,Galaxy Bus,R005,Chennai,Erode,Galaxy Bus Express,AC Seater,15:45,00:00,8h 15m,400,1238,Tambaram,Central Bus Stand,40,16,"WiFi,Charging,Water",Daily,4.1
BUS0072,Galaxy Bus,R012,Chennai,Karaikudi,Galaxy Bus Express,AC Sleeper,10:30,14:45,4h 15m,410,1103,Koyambedu,Bus Stand,36,2,"Luxury Seat,WiFi",Weekends,4.6
BUS0073,Prime Bus,R016,Chennai,Tirupati,Prime Bus Express,Semi Sleeper,22:30,09:45,11h 15m,150,606,Guindy,Central Bus Stand,36,33,"AC,Blanket,Pillow",Daily,3.8
BUS0074,Southern Express,R012,Chennai,Karaikudi,Southern Express Express,BharatBenz Sleeper,16:15,03:00,10h 45m,410,1227,Tambaram,Bus Stand,40,26,"GPS,USB Charging",Weekdays,4.9
BUS0075,Victory Travels,R011,Chennai,Dindigul,Victory Travels Express,Luxury Sleeper,10:45,18:00,7h 15m,420,1092,Koyambedu,Bus Stand,40,16,"Luxury Seat,WiFi",Weekdays,4.6
BUS0076,Smart Coach,R013,Chennai,Puducherry,Smart Coach Express,Non AC Seater,02:15,10:45,8h 30m,170,653,Koyambedu,New Bus Stand,40,8,"Charging,Reading Light",Weekdays,3.9
BUS0077,Southern Express,R020,Trichy,Chennai,Southern Express Express,Non AC Seater,11:45,20:45,9h 0m,330,1061,Central Bus Stand,Koyambedu,36,21,"Charging,Reading Light",Weekdays,4.1
BUS0078,Blue Bird,R013,Chennai,Puducherry,Blue Bird Express,Semi Sleeper,15:00,00:15,9h 15m,170,485,Guindy,New Bus Stand,40,14,"WiFi,Charging,Water",Weekdays,4.8
BUS0079,Comfort Bus,R015,Chennai,Bengaluru,Comfort Bus Express,Semi Sleeper,14:15,17:45,3h 30m,345,975,Koyambedu,Majestic,36,19,"GPS,USB Charging",Daily,4.9
BUS0080,Blue Bird,R004,Chennai,Salem,Blue Bird Express,BharatBenz Sleeper,15:45,02:30,10h 45m,345,1074,Tambaram,Old Bus Stand,36,35,"GPS,USB Charging",Weekends,4.1
BUS0081,Smart Coach,R018,Coimbatore,Chennai,Smart Coach Express,Volvo Multi Axle,10:45,16:00,5h 15m,510,1243,Ukkadam,Vandalur,36,16,"Blanket,Pillow,Water",Daily,4.2
BUS0082,Smart Coach,R014,Chennai,Hosur,Smart Coach Express,Volvo Multi Axle,10:00,18:30,8h 30m,310,987,Perungalathur,Bus Stand,40,27,"Blanket,Pillow,Water",Daily,4.6
BUS0083,Prime Bus,R010,Chennai,Thanjavur,Prime Bus Express,Non AC Sleeper,09:00,17:45,8h 45m,350,1112,Perungalathur,New Bus Stand,40,33,"Charging,Reading Light",Weekdays,4.0
BUS0084,Galaxy Bus,R023,Puducherry,Chennai,Galaxy Bus Express,Luxury Sleeper,19:00,06:30,11h 30m,170,619,New Bus Stand,Tambaram,36,6,"Charging,Reading Light",Weekends,4.0
BUS0085,Fast Wheels,R002,Chennai,Coimbatore,Fast Wheels Express,AC Sleeper,11:00,16:45,5h 45m,510,1414,Guindy,Gandhipuram,45,34,"Luxury Seat,WiFi",Weekends,4.4
BUS0086,Fast Wheels,R022,Nagercoil,Chennai,Fast Wheels Express,AC Sleeper,05:00,14:45,9h 45m,705,1785,Vadasery Bus Stand,Guindy,40,35,"GPS,USB Charging",Daily,4.4
BUS0087,Golden Route,R012,Chennai,Karaikudi,Golden Route Express,Semi Sleeper,17:00,03:15,10h 15m,410,1098,Vandalur,Bus Stand,45,27,"Luxury Seat,WiFi",Weekends,4.0
BUS0088,Golden Route,R016,Chennai,Tirupati,Golden Route Express,Luxury Sleeper,00:45,06:30,5h 45m,150,468,Vandalur,Central Bus Stand,40,18,"Charging,Reading Light",Weekends,4.1
BUS0089,Southern Express,R001,Chennai,Madurai,Southern Express Express,AC Seater,00:30,12:00,11h 30m,460,1381,Guindy,Mattuthavani Bus Stand,45,8,"AC,WiFi,Charging",Daily,4.2
BUS0090,Galaxy Bus,R023,Puducherry,Chennai,Galaxy Bus Express,Volvo Multi Axle,18:30,22:00,3h 30m,170,557,New Bus Stand,Perungalathur,36,9,"Luxury Seat,WiFi",Weekdays,4.9
BUS0091,Royal Rider,R004,Chennai,Salem,Royal Rider Express,Non AC Seater,08:30,14:45,6h 15m,345,942,Koyambedu,New Bus Stand,45,13,"AC,Blanket,Pillow",Daily,5.0
BUS0092,Victory Travels,R004,Chennai,Salem,Victory Travels Express,Volvo Multi Axle,23:15,06:00,6h 45m,345,1001,Guindy,Old Bus Stand,40,19,"WiFi,Charging,Water",Weekends,4.0
BUS0093,GreenLine Travels,R017,Madurai,Chennai,GreenLine Travels Express,Non AC Seater,00:00,03:30,3h 30m,460,1236,Mattuthavani,Koyambedu,40,17,"Luxury Seat,WiFi",Weekends,4.1
BUS0094,Fast Wheels,R023,Puducherry,Chennai,Fast Wheels Express,BharatBenz Sleeper,04:15,08:30,4h 15m,170,670,New Bus Stand,Perungalathur,36,23,"AC,Blanket,Pillow",Daily,4.5
BUS0095,Blue Bird,R004,Chennai,Salem,Blue Bird Express,Volvo Multi Axle,06:00,09:00,3h 0m,345,873,Vandalur,New Bus Stand,40,18,"AC,WiFi,Charging",Weekdays,4.3
BUS0096,Rainbow Coaches,R022,Nagercoil,Chennai,Rainbow Coaches Express,BharatBenz Sleeper,16:15,00:30,8h 15m,705,1843,Vadasery Bus Stand,Guindy,36,36,"GPS,USB Charging",Weekdays,4.7
BUS0097,Blue Bird,R002,Chennai,Coimbatore,Blue Bird Express,Semi Sleeper,22:30,01:45,3h 15m,510,1393,Tambaram,Ukkadam,36,3,"Blanket,Pillow,Water",Weekends,4.4
BUS0098,Southern Express,R012,Chennai,Karaikudi,Southern Express Express,Luxury Sleeper,08:30,17:15,8h 45m,410,1270,Guindy,Bus Stand,36,35,"Luxury Seat,WiFi",Weekends,4.2
